n,predicted_prime_at,is_prime,is_prime_next,Phi_cent,Phi_choice,Spike_basic,RuptureSpike,Peak_ok,GateC,FinalSpike
1102,1103,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
1108,1109,False,True,0.994041170097508,0.994041170097508,True,True,True,True,True
1110,1111,False,False,0.995520260639381,0.995520260639381,True,True,True,False,False
1116,1117,False,True,0.995767540289761,0.995767540289761,True,True,True,True,True
1120,1121,False,False,0.995813953488372,0.995813953488372,True,True,True,False,False
1122,1123,False,True,0.995520260639381,0.995520260639381,True,True,True,True,True
1128,1129,False,True,0.995442708333333,0.995442708333333,True,True,True,True,True
1132,1133,False,False,0.994041170097508,0.994041170097508,True,True,True,False,False
1138,1139,False,False,0.993501218521527,0.993501218521527,True,True,True,False,False
1146,1147,False,False,0.994577006507592,0.994577006507592,True,True,True,False,False
1150,1151,False,True,0.995523906408952,0.995523906408952,True,True,True,True,True
1152,1153,False,True,0.996384344210431,0.996384344210431,True,True,True,True,True
1156,1157,False,False,0.994311255587160,0.994311255587160,True,True,True,False,False
1158,1159,False,False,0.994577006507592,0.994577006507592,True,True,True,False,False
1162,1163,False,True,0.994036324207102,0.994036324207102,True,True,True,True,True
1170,1171,False,True,0.995764092538286,0.995764092538286,True,True,True,True,True
1176,1177,False,False,0.995388579953886,0.995388579953886,True,True,True,False,False
1180,1181,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
1186,1187,False,True,0.993501218521527,0.993501218521527,True,True,True,True,True
1188,1189,False,False,0.995929995929996,0.995929995929996,True,True,True,False,False
1192,1193,False,True,0.995527546249238,0.995527546249238,True,True,True,True,True
1198,1199,False,False,0.991883116883117,0.991883116883117,True,True,True,False,False
1200,1201,False,True,0.996046051866496,0.996046051866496,True,True,True,True,True
1206,1207,False,False,0.995117982099268,0.995117982099268,True,True,True,False,False
1212,1213,False,True,0.995523906408952,0.995523906408952,True,True,True,True,True
1216,1217,False,True,0.995121951219512,0.995121951219512,True,True,True,True,True
1218,1219,False,False,0.995520260639381,0.995520260639381,True,True,True,False,False
1222,1223,False,True,0.994577006507592,0.994577006507592,True,True,True,True,True
1228,1229,False,True,0.995121951219512,0.995121951219512,True,True,True,True,True
1230,1231,False,True,0.995926680244399,0.995926680244399,True,True,True,True,True
1236,1237,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
1240,1241,False,False,0.995117982099268,0.995117982099268,True,True,True,False,False
1242,1243,False,False,0.995442708333333,0.995442708333333,True,True,True,False,False
1246,1247,False,False,0.994036324207102,0.994036324207102,True,True,True,False,False
1248,1249,False,True,0.996046051866496,0.996046051866496,True,True,True,True,True
1258,1259,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
1260,1261,False,False,0.995926680244399,0.995926680244399,True,True,True,False,False
1270,1271,False,False,0.993495934959350,0.993495934959350,True,True,True,False,False
1272,1273,False,False,0.995442708333333,0.995442708333333,True,True,True,False,False
1276,1277,False,True,0.994712222900142,0.994712222900142,True,True,True,True,True
1278,1279,False,True,0.995929995929996,0.995929995929996,True,True,True,True,True
1282,1283,False,True,0.993501218521527,0.993501218521527,True,True,True,True,True
1288,1289,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
1290,1291,False,True,0.995926680244399,0.995926680244399,True,True,True,True,True
1296,1297,False,True,0.995933306222041,0.995933306222041,True,True,True,True,True
1300,1301,False,True,0.995767540289761,0.995767540289761,True,True,True,True,True
1302,1303,False,True,0.995926680244399,0.995926680244399,True,True,True,True,True
1306,1307,False,True,0.992691839220463,0.992691839220463,True,True,True,True,True
1312,1313,False,False,0.995392329583955,0.995392329583955,True,True,True,False,False
1318,1319,False,True,0.994311255587160,0.994311255587160,True,True,True,True,True
1320,1321,False,True,0.996197718631179,0.996197718631179,True,True,True,True,True
1326,1327,False,True,0.995114006514658,0.995114006514658,True,True,True,True,True
1330,1331,False,False,0.994707917769184,0.994707917769184,True,True,True,False,False
1332,1333,False,False,0.995117982099268,0.995117982099268,True,True,True,False,False
1338,1339,False,False,0.994577006507592,0.994577006507592,True,True,True,False,False
1342,1343,False,False,0.994036324207102,0.994036324207102,True,True,True,False,False
1348,1349,False,False,0.994581414250881,0.994581414250881,True,True,True,False,False
1356,1357,False,False,0.995117982099268,0.995117982099268,True,True,True,False,False
1360,1361,False,True,0.995659251220836,0.995659251220836,True,True,True,True,True
1362,1363,False,False,0.995117982099268,0.995117982099268,True,True,True,False,False
1366,1367,False,True,0.992691839220463,0.992691839220463,True,True,True,True,True
1368,1369,False,False,0.995929995929996,0.995929995929996,True,True,True,False,False
1372,1373,False,True,0.995770982433312,0.995770982433312,True,True,True,True,True
1380,1381,False,True,0.995764092538286,0.995764092538286,True,True,True,True,True
1386,1387,False,False,0.995438996579247,0.995438996579247,True,True,True,False,False
1390,1391,False,False,0.994577006507592,0.994577006507592,True,True,True,False,False
1396,1397,False,False,0.993501218521527,0.993501218521527,True,True,True,False,False
1398,1399,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
1402,1403,False,False,0.993501218521527,0.993501218521527,True,True,True,False,False
1408,1409,False,True,0.995933306222041,0.995933306222041,True,True,True,True,True
1410,1411,False,False,0.995520260639381,0.995520260639381,True,True,True,False,False
1416,1417,False,False,0.995442708333333,0.995442708333333,True,True,True,False,False
1422,1423,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
1426,1427,False,True,0.994036324207102,0.994036324207102,True,True,True,True,True
1428,1429,False,True,0.996089294443539,0.996089294443539,True,True,True,True,True
1432,1433,False,True,0.994716521032310,0.994716521032310,True,True,True,True,True
1438,1439,False,True,0.994311255587160,0.994311255587160,True,True,True,True,True
